Date,Price,Volume
2022-09-28,19.9,11555622
2022-09-27,20.2,35273904
2022-09-26,20.0,8868232
2022-09-23,19.95,20832081
2022-09-22,20.0,24391157
2022-09-21,19.95,6300657
2022-09-20,19.8,11093625
2022-09-19,19.75,9252081
2022-09-16,19.75,11969523
2022-09-15,19.65,8565001
2022-09-14,19.5,18250335
2022-09-13,20.0,26736348
2022-09-12,20.05,5915292
2022-09-09,20.05,14018716
2022-09-08,20.05,8264101
2022-09-07,20.05,10186963
2022-09-06,20.25,12496849
2022-09-05,21.0,9493318
2022-09-02,21.5,12395423
2022-09-01,21.25,7452644
2022-08-31,21.9,6035660
2022-08-30,21.95,6896895
2022-08-29,21.95,12450376
2022-08-26,21.9,6780399
2022-08-25,22.0,5541140
2022-08-24,22.0,11859784
2022-08-23,22.0,25197019
2022-08-22,22.0,6404916
2022-08-19,21.95,7069887
2022-08-18,21.95,5748982
2022-08-17,21.7,16658891
2022-08-16,21.8,6248076
2022-08-15,21.7,8335006
2022-08-12,21.25,9710565
2022-08-11,21.4,5756650
2022-08-10,21.45,5394533
2022-08-09,21.25,4445297
2022-08-08,21.25,10232994
2022-08-05,21.9,10170736
2022-08-04,22.0,6573789
2022-08-03,21.4,8365410
2022-08-02,21.4,9293445
2022-08-01,21.0,20445680
2022-07-29,20.7,22697162
2022-07-28,18.9,16934539
2022-07-27,20.6,9277174
2022-07-26,21.0,11387519
2022-07-25,21.7,12269607
2022-07-22,20.75,16043794
2022-07-21,21.95,9488224
2022-07-20,21.95,4504293
2022-07-19,22.0,3777098
2022-07-18,22.0,10675813
2022-07-15,22.2,5616951
2022-07-14,22.1,6588641
2022-07-13,22.45,3495863
2022-07-08,22.0,8357583
2022-07-07,21.85,3895339
2022-07-06,21.75,7215240
2022-07-05,21.65,11743083
2022-07-04,22.1,8582952
2022-07-01,21.85,5421925
2022-06-30,21.7,14073222
2022-06-29,21.7,12681476
2022-06-28,21.65,16088472
2022-06-27,21.7,11859940
2022-06-24,21.65,8242565
2022-06-23,21.6,9375781
2022-06-22,21.95,14528080
2022-06-21,22.0,12807488
2022-06-20,22.0,7831867
2022-06-17,21.4,33199949
2022-06-16,21.95,17335356
