HistorySet,Original,AfterCleanAlias,NormalizedMatches
AM300,SCANGROUP (KENYA) (KENYA),SCANGROUP KENYA,
AM100,SEPLAT ENERGY NIGERIA (NIGERIA),SEPLAT ENERGY NIGERIA NIGERIA (NIGERIA),
AM200,SEPLAT ENERGY NIGERIA (NIGERIA),SEPLAT ENERGY NIGERIA NIGERIA (NIGERIA),
AM300,SEPLAT ENERGY NIGERIA (NIGERIA),SEPLAT ENERGY NIGERIA NIGERIA (NIGERIA),
AM100,SIBANYE STILLWATER (SOUTH AFRICA),SIBANYE STILLWATER SOUTH AFRICA (SOUTH AFRICA),
AM300,SIBANYE STILLWATER (SOUTH AFRICA),SIBANYE STILLWATER SOUTH AFRICA (SOUTH AFRICA),
AM100,SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),SIDI KERIR PETROCHEMICALS EGYPT EGYPT (EGYPT),
AM200,SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),SIDI KERIR PETROCHEMICALS EGYPT EGYPT (EGYPT),
AM300,SIDI KERIR PETROCHEMICALS EGYPT (EGYPT),SIDI KERIR PETROCHEMICALS EGYPT EGYPT (EGYPT),
AM100,SIMBISA BRANDS (ZIMBABWE),SIMBISA BRANDS ZIMBABWE (ZIMBABWE),
AM200,SIMBISA BRANDS (ZIMBABWE),SIMBISA BRANDS ZIMBABWE (ZIMBABWE),
AM300,SIMBISA BRANDS (ZIMBABWE),SIMBISA BRANDS ZIMBABWE (ZIMBABWE),
AM200,SOCIÉTÉ DE FABRICATION DES BOISSONS DE TUNISIE SOCIÉTÉ ANONYME (TUNISIA),SOCIÉTÉ DE FABRICATION DES BOISSONS DE TUNISIE SOCIÉTÉ ANONYME TUNISIA (TUNISIA),
AM300,SOCIÉTÉ DE FABRICATION DES BOISSONS DE TUNISIE SOCIÉTÉ ANONYME (TUNISIA),SOCIÉTÉ DE FABRICATION DES BOISSONS DE TUNISIE SOCIÉTÉ ANONYME TUNISIA (TUNISIA),
AM200,SOCIÉTÉ FRIGORIFIQUE ET BRASSERIE DE TUNIS TUNISIA (TUNISIA),SOCIÉTÉ FRIGORIFIQUE ET BRASSERIE DE TUNIS TUNISIA TUNISIA (TUNISIA),
AM300,SOCIÉTÉ FRIGORIFIQUE ET BRASSERIE DE TUNIS TUNISIA (TUNISIA),SOCIÉTÉ FRIGORIFIQUE ET BRASSERIE DE TUNIS TUNISIA TUNISIA (TUNISIA),
AM100,SONATEL SENEGAL (SENEGAL),SONATEL SENEGAL SENEGAL (SENEGAL),
AM300,SONATEL SENEGAL (SENEGAL),SONATEL SENEGAL SENEGAL (SENEGAL),
AM100,SPAR (SOUTH AFRICA),SPAR SOUTH AFRICA (SOUTH AFRICA),
AM200,SPAR (SOUTH AFRICA),SPAR SOUTH AFRICA (SOUTH AFRICA),
AM300,SPAR (SOUTH AFRICA),SPAR SOUTH AFRICA (SOUTH AFRICA),
AM100,STANBIC BANK UGANDA (UGANDA),STANBIC BANK UGANDA UGANDA (UGANDA),
AM200,STANBIC BANK UGANDA (UGANDA),STANBIC BANK UGANDA UGANDA (UGANDA),
AM300,STANBIC BANK UGANDA (UGANDA),STANBIC BANK UGANDA UGANDA (UGANDA),
AM200,STANBIC HOLDINGS KENYA (KENYA),STANBIC HOLDINGS KENYA KENYA (KENYA),
AM300,STANBIC HOLDINGS KENYA (KENYA),STANBIC HOLDINGS KENYA KENYA (KENYA),
AM100,STANBIC IBTC HOLDINGS NIGERIA (NIGERIA),STANBIC IBTC HOLDINGS NIGERIA NIGERIA (NIGERIA),
AM200,STANBIC IBTC HOLDINGS NIGERIA (NIGERIA),STANBIC IBTC HOLDINGS NIGERIA NIGERIA (NIGERIA),
