Company,Dividend_Status,Liquidity Score,Price,Trading Days (90d),NonZeroVolumeDays90d,AvgDailyValue30d,AvgDailyValue30dUSD,InvestableCapacity20USD,TradeCount30,StaleVolumeDays30d,ClippedValueDays30d,MedianTradedValueUSD,TradedValueCapUSD,Date,ObservationDate,ImplementationDate,Country,Regime,RawLiquidity,Rank,Selected,RebalanceDate
RAUBEX (SOUTH AFRICA),OK,891415.0551836435,2.40818553679488,87,87,891415.0551836435,891415.0551836435,178283.0110367287,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,891415.0551836435,79.0,True,2025-04-30
KCB GROUP KENYA (KENYA),OK,882048.3312816374,0.3333151453182863,85,85,882048.3312816374,882048.3312816374,176409.6662563275,30,,,,,2025-04-30,2025-03-31,2025-04-30,KENYA,MID,882048.3312816374,80.0,True,2025-04-30
ORASCOM INVESTMENT HOLDING EGYPT (EGYPT),OK,850618.2829309965,0.01305929911137406,86,86,850618.2829309965,850618.2829309965,170123.6565861993,30,,,,,2025-04-30,2025-03-31,2025-04-30,EGYPT,MID,850618.2829309965,81.0,True,2025-04-30
BANK OF AFRICA MOROCCO (MOROCCO),OK,767311.6691033435,21.15744965790596,87,87,767311.6691033435,767311.6691033435,153462.33382066872,30,,,,,2025-04-30,2025-03-31,2025-04-30,MOROCCO,MID,767311.6691033435,82.0,True,2025-04-30
CHOPPIES ENTERPRISES LIMITED (SOUTH AFRICA),OK,743892.7077602408,5.735075558254986,87,87,743892.7077602408,743892.7077602408,148778.54155204815,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,743892.7077602408,83.0,True,2025-04-30
SAFARICOM KENYA (KENYA),OK,735488.7610367547,0.1447133371132773,85,85,735488.7610367547,735488.7610367547,147097.75220735095,30,,,,,2025-04-30,2025-03-31,2025-04-30,KENYA,MID,735488.7610367547,84.0,True,2025-04-30
JUHAYNA FOOD INDUSTRIES (EGYPT),OK,668187.7985588034,0.6529649555687028,86,86,668187.7985588034,668187.7985588034,133637.5597117607,30,,,,,2025-04-30,2025-03-31,2025-04-30,EGYPT,MID,668187.7985588034,85.0,True,2025-04-30
ABU QIR FERTILIZERS EGYPT (EGYPT),OK,649869.7694733717,1.12507840526171,86,86,649869.7694733717,649869.7694733717,129973.95389467434,30,,,,,2025-04-30,2025-03-31,2025-04-30,EGYPT,MID,649869.7694733717,86.0,True,2025-04-30
GEREGU POWER NIGERIA (NIGERIA),OK,629941.1357793087,0.7461076904976666,86,86,629941.1357793087,629941.1357793087,125988.22715586175,30,,,,,2025-04-30,2025-03-31,2025-04-30,NIGERIA,MID,629941.1357793087,87.0,True,2025-04-30
EL SEWEDY ELECTRIC (EGYPT),OK,562623.9540246292,1.612625572086342,86,86,562623.9540246292,562623.9540246292,112524.79080492584,30,,,,,2025-04-30,2025-03-31,2025-04-30,EGYPT,MID,562623.9540246292,88.0,True,2025-04-30
MCB GROUP LTD MAURITIUS (MAURITIUS),OK,545967.9830858768,10.69175304191077,82,82,545967.9830858768,545967.9830858768,109193.59661717537,30,,,,,2025-04-30,2025-03-31,2025-04-30,MAURITIUS,LOW,545967.9830858768,89.0,True,2025-04-30
PSG KONSULT (SOUTH AFRICA),OK,538159.2528042227,0.9864329960198576,87,87,538159.2528042227,538159.2528042227,107631.85056084456,30,,,,,2025-04-30,2025-03-31,2025-04-30,SOUTH AFRICA,HIGH,538159.2528042227,90.0,True,2025-04-30
GUARANTY TRUST HOLDING COMPANY NIGERIA (NIGERIA),OK,537825.0365235343,0.04496908375491849,86,86,537825.0365235343,537825.0365235343,107565.00730470687,30,,,,,2025-04-30,2025-03-31,2025-04-30,NIGERIA,MID,537825.0365235343,91.0,True,2025-04-30
ABU DHABI ISLAMIC BANK EGYPT (EGYPT),OK,455730.91246664163,0.8504373875861468,86,86,455730.91246664163,455730.91246664163,91146.18249332834,30,,,,,2025-04-30,2025-03-31,2025-04-30,EGYPT,MID,455730.91246664163,92.0,True,2025-04-30
RAYA HOLDING EGYPT (EGYPT),OK,440101.3900068597,0.04669688773157996,86,86,440101.3900068597,440101.3900068597,88020.27800137195,30,,,,,2025-04-30,2025-03-31,2025-04-30,EGYPT,MID,440101.3900068597,93.0,True,2025-04-30
TELECOM EGYPT (EGYPT),OK,438702.2423367247,0.6984746342901578,86,86,438702.2423367247,438702.2423367247,87740.44846734495,30,,,,,2025-04-30,2025-03-31,2025-04-30,EGYPT,MID,438702.2423367247,94.0,True,2025-04-30
SONATEL SENEGAL (SENEGAL),OK,419971.7977609532,41.49471946499033,86,86,419971.7977609532,419971.7977609532,83994.35955219064,30,,,,,2025-04-30,2025-03-31,2025-04-30,SENEGAL,LOW,419971.7977609532,95.0,True,2025-04-30
GB AUTO EGYPT (EGYPT),OK,398745.32240618224,0.4006830409171586,86,86,398745.32240618224,398745.32240618224,79749.06448123645,30,,,,,2025-04-30,2025-03-31,2025-04-30,EGYPT,MID,398745.32240618224,96.0,True,2025-04-30
UNITED BANK FOR AFRICA NIGERIA (NIGERIA),OK,386281.7862362797,0.02411859288599553,86,86,386281.7862362797,386281.7862362797,77256.35724725595,30,,,,,2025-04-30,2025-03-31,2025-04-30,NIGERIA,MID,386281.7862362797,97.0,True,2025-04-30
