Date,High Risk
2021-04-30,1841.5415237456284
2021-05-03,1841.5415237456284
2021-05-04,1838.963642763222
2021-05-05,1846.4162203447538
2021-05-06,1852.1919370683484
2021-05-07,1865.9743023919118
2021-05-09,1864.530562644107
2021-05-10,1873.4835286929724
2021-05-11,1878.9098760476184
2021-05-12,1880.6540018439173
2021-05-13,1887.1574658889945
2021-05-14,1909.2433146569547
2021-05-17,1930.7865001468692
2021-05-18,1946.5319105862761
2021-05-19,1944.1460502367124
2021-05-20,1939.8891880627348
2021-05-21,1946.1772496643036
2021-05-23,1952.8654844158389
2021-05-24,1938.7372618649852
2021-05-25,1923.9358155363768
2021-05-26,1933.353505215835
2021-05-27,1932.3985459312466
2021-05-28,1939.4198481553628
2021-05-30,1944.6520851935475
2021-05-31,1937.1759501907786
2021-06-01,1937.1759501907786
2021-06-02,1945.300662766033
2021-06-03,1939.9534086215363
2021-06-04,1943.2195234346557
2021-06-06,1947.9467740405216
2021-06-07,1944.7382200683273
2021-06-08,1938.9641324286217
2021-06-09,1958.2232830092169
2021-06-10,1952.815389011219
2021-06-11,1959.1575935901737
2021-06-13,1957.468387960418
2021-06-14,1963.277651408496
2021-06-15,1955.0621158436388
2021-06-16,1951.289435623723
2021-06-17,1953.508474945505
2021-06-18,1954.3561443887766
2021-06-20,1954.8449581423918
2021-06-21,1960.975137132988
2021-06-22,1956.539173044691
2021-06-23,1958.5916217658707
2021-06-24,1965.2952741693746
2021-06-25,1977.3701930010693
2021-06-27,1978.3856317232148
2021-06-28,1973.9480976969216
2021-06-29,1971.8567914931227
2021-06-30,1978.5242921671781
2021-07-01,1978.5242921671781
2021-07-02,1984.2661478028253
2021-07-04,1984.5803046149235
2021-07-05,1984.0604255859078
2021-07-06,1977.8627660798657
2021-07-07,1988.1773291946465
2021-07-08,1984.2493005330489
2021-07-09,1985.351066945414
2021-07-11,1983.1241284416553
2021-07-12,1989.289111366053
2021-07-13,1999.5575289906162
2021-07-14,2008.682065490521
2021-07-15,2030.3166840011118
2021-07-16,2033.9254457940874
2021-07-18,2040.1036206820997
2021-07-19,2045.4836098191329
2021-07-20,2039.8210102980045
2021-07-21,2043.8762758562655
2021-07-22,2048.8535085871395
2021-07-23,2061.3004386400494
2021-07-25,2071.215278466384
2021-07-26,2080.970417480769
2021-07-27,2099.931263960752
2021-07-28,2108.544900942192
2021-07-29,2106.0581633285533
2021-07-30,2101.0588012435255
2021-08-03,2101.0588012435255
2021-08-04,2096.2019580071883
2021-08-05,2097.9692177105176
2021-08-06,2110.4663469937673
2021-08-08,2115.0361583215777
2021-08-09,2117.270675821852
2021-08-10,2112.693560269617
2021-08-11,2126.1129793454284
2021-08-12,2127.1490984861184
2021-08-13,2139.102572387474
2021-08-15,2142.130795152489
2021-08-16,2145.59916556476
2021-08-17,2158.7697319417157
2021-08-18,2166.0325805888447
2021-08-19,2161.7955714114064
2021-08-20,2163.692053778832
2021-08-22,2164.3028445368477
2021-08-23,2171.198646467951
2021-08-24,2177.7516723083622
2021-08-25,2201.238426457921
2021-08-26,2222.4805808001693
2021-08-27,2225.111177868626
2021-08-29,2225.9520953016904
2021-08-30,2249.7216089860026
2021-08-31,2246.4146576896383
2021-09-01,2246.4146576896383
2021-09-02,2249.8945185069306
2021-09-03,2255.2093679632235
2021-09-05,2243.0287657003523
2021-09-06,2227.9219259694123
2021-09-07,2243.4781449208995
2021-09-08,2243.617977602855
2021-09-09,2253.131653549124
2021-09-10,2254.392182772115
2021-09-12,2258.5475985839985
2021-09-13,2267.300899323606
2021-09-14,2273.2642246892
2021-09-15,2274.9973278160837
2021-09-16,2262.599281351561
2021-09-17,2260.047555647459
2021-09-19,2257.487552788515
2021-09-20,2254.326871520641
2021-09-21,2249.4742440101027
2021-09-22,2270.952391892552
2021-09-23,2281.59479852443
2021-09-24,2316.629495097383
2021-09-26,2317.1425414992327
2021-09-27,2332.2244640051385
2021-09-28,2356.0374670208953
2021-09-29,2350.662972297924
2021-09-30,2358.667451067401
2021-10-01,2358.667451067401
2021-10-03,2356.3467962247114
2021-10-04,2354.23603921533
2021-10-05,2364.907311588794
2021-10-06,2377.2773786602334
2021-10-07,2378.729192289365
2021-10-08,2378.0670707122126
2021-10-10,2377.7735426798117
2021-10-11,2390.5585379120785
2021-10-12,2387.6473141798824
2021-10-13,2394.4470099306563
2021-10-14,2398.9036900799656
2021-10-15,2419.960131653487
2021-10-17,2421.080783182037
2021-10-18,2421.491308632852
2021-10-19,2438.7315500522964
2021-10-20,2448.596177336043
2021-10-21,2470.6519016224242
2021-10-22,2468.6273121901713
2021-10-24,2463.408134423369
2021-10-25,2458.9430052110706
2021-10-26,2456.308496043908
2021-10-27,2458.1279411774126
2021-10-28,2460.146990967329
2021-10-29,2489.5237091335784
2021-10-31,2485.8445071855767
2021-11-01,2485.8445071855767
2021-11-02,2481.305250333913
2021-11-03,2476.834169076382
2021-11-04,2468.8880370641937
2021-11-05,2476.2375257852805
2021-11-07,2476.369680633105
2021-11-08,2481.802407763017
2021-11-09,2472.092346204416
2021-11-10,2472.715159592017
2021-11-11,2474.9581008646132
2021-11-12,2465.6838958498215
2021-11-14,2461.636209891805
2021-11-15,2451.701244011471
2021-11-16,2453.209363098193
2021-11-17,2444.430710426972
2021-11-18,2457.477301755037
2021-11-19,2438.5744281251577
2021-11-21,2427.973899756641
2021-11-22,2423.714475491743
2021-11-23,2414.667339479793
2021-11-24,2394.075390182389
2021-11-25,2400.3685331613237
2021-11-26,2398.84260468544
2021-11-28,2389.2438332229767
2021-11-29,2384.215047152035
2021-11-30,2382.1541253359633
2021-12-01,2382.1541253359633
2021-12-02,2369.4701076877186
2021-12-03,2373.480343977843
2021-12-05,2382.9511708778327
2021-12-06,2381.4958098607567
2021-12-07,2386.2334182780614
2021-12-08,2392.137417675301
